-- SM_SALES_PERFORMANCE 샘플 데이터
-- 판매 실적 정보 (확장된 제품 목록에 맞춤)

-- ============================================================
-- 2024년 1월 실적 - 영업1팀
-- ============================================================

INSERT INTO SM_SALES_PERFORMANCE (SALES_ID, SALES_DATE, CUST_ID, EMP_ID, PROD_ID, UNIT_PRICE, QTY, DISCOUNT_AMT, NET_AMOUNT, TAX_AMOUNT, COST_AMOUNT, PAY_METHOD, SALES_STATUS, REMARKS, CREATED_BY)
VALUES ('SALES-2024-0001', '2024-01-05 10:30:00', 'CUST001', 'EMP011', 'PROD001', 1200000.00, 10, 600000.00, 11400000.00, 1140000.00, 8000000.00, 'TRANSFER', 'COMPLETED', '삼성전자 1월 정기 발주', 'SYSTEM');

INSERT INTO SM_SALES_PERFORMANCE (SALES_ID, SALES_DATE, CUST_ID, EMP_ID, PROD_ID, UNIT_PRICE, QTY, DISCOUNT_AMT, NET_AMOUNT, TAX_AMOUNT, COST_AMOUNT, PAY_METHOD, SALES_STATUS, REMARKS, CREATED_BY)
VALUES ('SALES-2024-0002', '2024-01-08 14:20:00', 'CUST010', 'EMP012', 'PROD010', 180000.00, 30, 270000.00, 5130000.00, 513000.00, 3600000.00, 'CARD', 'COMPLETED', '테크솔루션 모니터 납품', 'SYSTEM');

INSERT INTO SM_SALES_PERFORMANCE (SALES_ID, SALES_DATE, CUST_ID, EMP_ID, PROD_ID, UNIT_PRICE, QTY, DISCOUNT_AMT, NET_AMOUNT, TAX_AMOUNT, COST_AMOUNT, PAY_METHOD, SALES_STATUS, REMARKS, CREATED_BY)
VALUES ('SALES-2024-0003', '2024-01-10 09:15:00', 'CUST002', 'EMP011', 'PROD001', 1200000.00, 15, 900000.00, 17100000.00, 1710000.00, 12000000.00, 'TRANSFER', 'COMPLETED', 'LG전자 신규 사업부 구매', 'SYSTEM');

INSERT INTO SM_SALES_PERFORMANCE (SALES_ID, SALES_DATE, CUST_ID, EMP_ID, PROD_ID, UNIT_PRICE, QTY, DISCOUNT_AMT, NET_AMOUNT, TAX_AMOUNT, COST_AMOUNT, PAY_METHOD, SALES_STATUS, REMARKS, CREATED_BY)
VALUES ('SALES-2024-0004', '2024-01-12 11:00:00', 'CUST030', 'EMP013', 'PROD100', 28000.00, 200, 280000.00, 5320000.00, 532000.00, 3600000.00, 'TRANSFER', 'COMPLETED', '서울시청 복사용지 납품', 'SYSTEM');

INSERT INTO SM_SALES_PERFORMANCE (SALES_ID, SALES_DATE, CUST_ID, EMP_ID, PROD_ID, UNIT_PRICE, QTY, DISCOUNT_AMT, NET_AMOUNT, TAX_AMOUNT, COST_AMOUNT, PAY_METHOD, SALES_STATUS, REMARKS, CREATED_BY)
VALUES ('SALES-2024-0005', '2024-01-15 16:45:00', 'CUST011', 'EMP012', 'PROD072', 55000.00, 50, 137500.00, 2612500.00, 261250.00, 1750000.00, 'CREDIT', 'COMPLETED', '스마트시스템 키보드마우스 세트', 'SYSTEM');

INSERT INTO SM_SALES_PERFORMANCE (SALES_ID, SALES_DATE, CUST_ID, EMP_ID, PROD_ID, UNIT_PRICE, QTY, DISCOUNT_AMT, NET_AMOUNT, TAX_AMOUNT, COST_AMOUNT, PAY_METHOD, SALES_STATUS, REMARKS, CREATED_BY)
VALUES ('SALES-2024-0006', '2024-01-18 10:00:00', 'CUST003', 'EMP011', 'PROD007', 750000.00, 30, 1125000.00, 21375000.00, 2137500.00, 15000000.00, 'TRANSFER', 'COMPLETED', '현대자동차 사무용 PC 납품', 'SYSTEM');

INSERT INTO SM_SALES_PERFORMANCE (SALES_ID, SALES_DATE, CUST_ID, EMP_ID, PROD_ID, UNIT_PRICE, QTY, DISCOUNT_AMT, NET_AMOUNT, TAX_AMOUNT, COST_AMOUNT, PAY_METHOD, SALES_STATUS, REMARKS, CREATED_BY)
VALUES ('SALES-2024-0007', '2024-01-22 14:30:00', 'CUST012', 'EMP013', 'PROD105', 120000.00, 50, 300000.00, 5700000.00, 570000.00, 4000000.00, 'CREDIT', 'COMPLETED', '정품 토너 납품', 'SYSTEM');

-- ============================================================
-- 2024년 1월 실적 - 영업2팀
-- ============================================================

INSERT INTO SM_SALES_PERFORMANCE (SALES_ID, SALES_DATE, CUST_ID, EMP_ID, PROD_ID, UNIT_PRICE, QTY, DISCOUNT_AMT, NET_AMOUNT, TAX_AMOUNT, COST_AMOUNT, PAY_METHOD, SALES_STATUS, REMARKS, CREATED_BY)
VALUES ('SALES-2024-0008', '2024-01-07 10:00:00', 'CUST031', 'EMP021', 'PROD120', 2400000.00, 3, 360000.00, 6840000.00, 684000.00, 4500000.00, 'TRANSFER', 'COMPLETED', '한국전력 타워서버 납품', 'SYSTEM');

INSERT INTO SM_SALES_PERFORMANCE (SALES_ID, SALES_DATE, CUST_ID, EMP_ID, PROD_ID, UNIT_PRICE, QTY, DISCOUNT_AMT, NET_AMOUNT, TAX_AMOUNT, COST_AMOUNT, PAY_METHOD, SALES_STATUS, REMARKS, CREATED_BY)
VALUES ('SALES-2024-0009', '2024-01-11 13:30:00', 'CUST030', 'EMP022', 'PROD020', 90000.00, 150, 675000.00, 12825000.00, 1282500.00, 7500000.00, 'TRANSFER', 'COMPLETED', '서울시청 Office 365 도입', 'SYSTEM');

INSERT INTO SM_SALES_PERFORMANCE (SALES_ID, SALES_DATE, CUST_ID, EMP_ID, PROD_ID, UNIT_PRICE, QTY, DISCOUNT_AMT, NET_AMOUNT, TAX_AMOUNT, COST_AMOUNT, PAY_METHOD, SALES_STATUS, REMARKS, CREATED_BY)
VALUES ('SALES-2024-0010', '2024-01-18 15:00:00', 'CUST020', 'EMP023', 'PROD042', 250000.00, 20, 250000.00, 4750000.00, 475000.00, 3000000.00, 'CARD', 'COMPLETED', '미래정보 스위치 납품', 'SYSTEM');

INSERT INTO SM_SALES_PERFORMANCE (SALES_ID, SALES_DATE, CUST_ID, EMP_ID, PROD_ID, UNIT_PRICE, QTY, DISCOUNT_AMT, NET_AMOUNT, TAX_AMOUNT, COST_AMOUNT, PAY_METHOD, SALES_STATUS, REMARKS, CREATED_BY)
VALUES ('SALES-2024-0011', '2024-01-22 09:30:00', 'CUST032', 'EMP024', 'PROD063', 480000.00, 15, 360000.00, 6840000.00, 684000.00, 4500000.00, 'CREDIT', 'COMPLETED', '건강보험공단 복합기 납품', 'SYSTEM');

INSERT INTO SM_SALES_PERFORMANCE (SALES_ID, SALES_DATE, CUST_ID, EMP_ID, PROD_ID, UNIT_PRICE, QTY, DISCOUNT_AMT, NET_AMOUNT, TAX_AMOUNT, COST_AMOUNT, PAY_METHOD, SALES_STATUS, REMARKS, CREATED_BY)
VALUES ('SALES-2024-0012', '2024-01-25 11:00:00', 'CUST021', 'EMP023', 'PROD048', 350000.00, 30, 525000.00, 9975000.00, 997500.00, 6000000.00, 'TRANSFER', 'COMPLETED', '그린테크 기업용 AP 납품', 'SYSTEM');

-- ============================================================
-- 2024년 2월 실적
-- ============================================================

INSERT INTO SM_SALES_PERFORMANCE (SALES_ID, SALES_DATE, CUST_ID, EMP_ID, PROD_ID, UNIT_PRICE, QTY, DISCOUNT_AMT, NET_AMOUNT, TAX_AMOUNT, COST_AMOUNT, PAY_METHOD, SALES_STATUS, REMARKS, CREATED_BY)
